year, number of posts
2024, 56
2023, 26
2022, 55
2021, 63
2020, 86
2019, 62
2018, 73
2017, 79
2016, 53
2015, 11
2014, 22
2013, 21
2012, 36
2011, 89
2010, 63
2009, 103
2008, 344
2007, 275
2006, 426
2005, 341
2004, 187
2003, 525
2002, 402
2001, 41

